xflr5 v6.59

Plane name :        Small Fixed Wing New 1
Polar name :        T1-16.0 m/s-VLM2
Freestream speed :  16.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000   0.207126   0.003451   0.012774   0.016225  -0.000000   0.000000   0.120495   0.000000   0.000000   16.0000    -0.0118
   -4.750     0.000   0.230314   0.003741   0.012630   0.016371  -0.000000   0.000000   0.117152   0.000000   0.000000   16.0000     0.0097
   -4.500     0.000   0.253498   0.004071   0.012497   0.016567  -0.000000   0.000000   0.113795   0.000000   0.000000   16.0000     0.0272
   -4.250     0.000   0.276678   0.004440   0.012377   0.016817  -0.000000   0.000000   0.110424   0.000000   0.000000   16.0000     0.0418
   -4.000     0.000   0.299852   0.004850   0.012267   0.017117  -0.000000   0.000000   0.107039   0.000000   0.000000   16.0000     0.0541
   -3.750     0.000   0.323019   0.005299   0.012161   0.017460  -0.000000   0.000000   0.103641   0.000000   0.000000   16.0000     0.0647
   -3.500     0.000   0.346178   0.005788   0.012055   0.017843  -0.000000   0.000000   0.100231   0.000000   0.000000   16.0000     0.0739
   -3.250     0.000   0.369329   0.006317   0.011942   0.018259  -0.000000   0.000000   0.096807   0.000000   0.000000   16.0000     0.0819
   -3.000     0.000   0.392471   0.006885   0.011812   0.018698  -0.000000   0.000000   0.093372   0.000000   0.000000   16.0000     0.0889
   -2.750     0.000   0.415601   0.007494   0.011635   0.019128  -0.000000   0.000000   0.089924   0.000000   0.000000   16.0000     0.0952
   -2.500     0.000   0.438721   0.008141   0.011428   0.019569  -0.000000   0.000000   0.086465   0.000000   0.000000   16.0000     0.1008
   -2.250     0.000   0.461828   0.008829   0.011235   0.020064  -0.000000   0.000000   0.082994   0.000000   0.000000   16.0000     0.1059
   -2.000     0.000   0.484921   0.009556   0.011106   0.020661  -0.000000   0.000000   0.079511   0.000000   0.000000   16.0000     0.1104
   -1.750     0.000   0.508000   0.010322   0.011037   0.021358  -0.000000   0.000000   0.076017   0.000000   0.000000   16.0000     0.1146
   -1.500     0.000   0.531064   0.011127   0.011004   0.022132  -0.000000   0.000000   0.072511   0.000000   0.000000   16.0000     0.1184
   -1.250     0.000   0.554112   0.011972   0.011026   0.022998  -0.000000   0.000000   0.068995   0.000000   0.000000   16.0000     0.1219
   -1.000     0.000   0.577142   0.012856   0.011082   0.023938  -0.000000   0.000000   0.065468   0.000000   0.000000   16.0000     0.1251
   -0.750     0.000   0.600154   0.013779   0.011155   0.024934  -0.000000   0.000000   0.061931   0.000000   0.000000   16.0000     0.1280
   -0.500     0.000   0.623147   0.014741   0.011242   0.025983  -0.000000   0.000000   0.058384   0.000000   0.000000   16.0000     0.1308
   -0.250     0.000   0.646120   0.015741   0.011339   0.027081  -0.000000   0.000000   0.054827   0.000000   0.000000   16.0000     0.1333
    0.000     0.000   0.669072   0.016781   0.011444   0.028225  -0.000000   0.000000   0.051262   0.000000   0.000000   16.0000     0.1357
    0.250     0.000   0.692002   0.017858   0.011560   0.029419  -0.000000   0.000000   0.047687   0.000000   0.000000   16.0000     0.1379
    0.500     0.000   0.714908   0.018975   0.011686   0.030661  -0.000000   0.000000   0.044103   0.000000   0.000000   16.0000     0.1400
    0.750     0.000   0.737792   0.020129   0.011821   0.031950  -0.000000   0.000000   0.040511   0.000000   0.000000   16.0000     0.1420
    1.000     0.000   0.760650   0.021321   0.011964   0.033285  -0.000000   0.000000   0.036910   0.000000   0.000000   16.0000     0.1438
    1.250     0.000   0.783482   0.022551   0.012114   0.034666  -0.000000   0.000000   0.033302   0.000000   0.000000   16.0000     0.1456
    1.500     0.000   0.806288   0.023819   0.012272   0.036091  -0.000000   0.000000   0.029686   0.000000   0.000000   16.0000     0.1472
    1.750     0.000   0.829066   0.025125   0.012438   0.037563  -0.000000   0.000000   0.026062   0.000000   0.000000   16.0000     0.1487
    2.000     0.000   0.851816   0.026468   0.012614   0.039081  -0.000000   0.000000   0.022431   0.000000   0.000000   16.0000     0.1502
    2.250     0.000   0.874536   0.027848   0.012798   0.040646  -0.000000   0.000000   0.018794   0.000000   0.000000   16.0000     0.1516
    2.500     0.000   0.897226   0.029265   0.012994   0.042258  -0.000000   0.000000   0.015150   0.000000   0.000000   16.0000     0.1529
    2.750     0.000   0.919884   0.030718   0.013200   0.043919  -0.000000   0.000000   0.011499   0.000000   0.000000   16.0000     0.1542
    3.000     0.000   0.942510   0.032209   0.013417   0.045626  -0.000000   0.000000   0.007843   0.000000   0.000000   16.0000     0.1554
    3.250     0.000   0.965104   0.033735   0.013643   0.047378  -0.000000   0.000000   0.004181   0.000000   0.000000   16.0000     0.1565
    3.500     0.000   0.987663   0.035298   0.013876   0.049174  -0.000000   0.000000   0.000514   0.000000   0.000000   16.0000     0.1577
    3.750     0.000   1.010187   0.036896   0.014122   0.051018  -0.000000   0.000000  -0.003159   0.000000   0.000000   16.0000     0.1587
    4.000     0.000   1.032675   0.038530   0.014380   0.052910  -0.000000   0.000000  -0.006836   0.000000   0.000000   16.0000     0.1597
    4.250     0.000   1.055126   0.040199   0.014657   0.054857  -0.000000   0.000000  -0.010518   0.000000   0.000000   16.0000     0.1607
    4.500     0.000   1.077540   0.041904   0.014948   0.056852  -0.000000   0.000000  -0.014204   0.000000   0.000000   16.0000     0.1616
    4.750     0.000   1.099915   0.043643   0.015244   0.058887  -0.000000   0.000000  -0.017894   0.000000   0.000000   16.0000     0.1625
    5.000     0.000   1.122251   0.045416   0.015558   0.060974  -0.000000   0.000000  -0.021588   0.000000   0.000000   16.0000     0.1634
